Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Antall minutter nedbør siste time;Høyeste middelvind (1 t)
Strømtangen Fyr;SN17000;05.01.2024 08:00;0;-14,2;0;7,8
Strømtangen Fyr;SN17000;05.01.2024 09:00;0;-14,5;0;7,8
Strømtangen Fyr;SN17000;05.01.2024 10:00;0;-14,7;0;8,4
Strømtangen Fyr;SN17000;05.01.2024 11:00;0;-14,4;0;8,5
Strømtangen Fyr;SN17000;05.01.2024 12:00;0;-13,8;0;8,2
Strømtangen Fyr;SN17000;05.01.2024 13:00;0;-13,2;0;7,1
Strømtangen Fyr;SN17000;05.01.2024 14:00;0;-13,1;0;7,2
Strømtangen Fyr;SN17000;05.01.2024 15:00;0;-13,3;0;8
Strømtangen Fyr;SN17000;05.01.2024 16:00;0;-13,8;0;7,6
Strømtangen Fyr;SN17000;05.01.2024 17:00;0;-14,5;0;6,8
Strømtangen Fyr;SN17000;05.01.2024 18:00;0;-14,3;0;7,5
Strømtangen Fyr;SN17000;05.01.2024 19:00;0;-14,7;0;7,4
Strømtangen Fyr;SN17000;05.01.2024 20:00;0;-15,3;0;8
Strømtangen Fyr;SN17000;05.01.2024 21:00;0;-16,3;0;7,8
Strømtangen Fyr;SN17000;05.01.2024 22:00;0;-16,2;0;2,7
Strømtangen Fyr;SN17000;05.01.2024 23:00;0;-17,7;0;3,5
Strømtangen Fyr;SN17000;06.01.2024 00:00;0;-18;0;2,6
Strømtangen Fyr;SN17000;06.01.2024 01:00;0;-18,1;0;3,1
Strømtangen Fyr;SN17000;06.01.2024 02:00;0;-17,4;0;4,2
Strømtangen Fyr;SN17000;06.01.2024 03:00;0;-18;0;4,1
Strømtangen Fyr;SN17000;06.01.2024 04:00;0;-18,3;0;5,3
Strømtangen Fyr;SN17000;06.01.2024 05:00;0;-18,1;0;4,8
Strømtangen Fyr;SN17000;06.01.2024 06:00;0;-17,9;0;5,2
Strømtangen Fyr;SN17000;06.01.2024 07:00;0;-18,4;0;5,5
Strømtangen Fyr;SN17000;06.01.2024 08:00;0;-19,1;0;6,2
Strømtangen Fyr;SN17000;06.01.2024 09:00;0;-18,5;0;5,8
Strømtangen Fyr;SN17000;06.01.2024 10:00;0;-19,2;1;5,7
Strømtangen Fyr;SN17000;06.01.2024 11:00;0;-17,6;1;5,3
Strømtangen Fyr;SN17000;06.01.2024 12:00;0;-17,2;0;4,9
Strømtangen Fyr;SN17000;06.01.2024 13:00;0;-16,9;1;4,6
Strømtangen Fyr;SN17000;06.01.2024 14:00;0;-15,7;0;4
Strømtangen Fyr;SN17000;06.01.2024 15:00;0;-15,7;0;5
Strømtangen Fyr;SN17000;06.01.2024 16:00;0;-16,3;0;4,8
Strømtangen Fyr;SN17000;06.01.2024 17:00;0;-16,1;0;6
Strømtangen Fyr;SN17000;06.01.2024 18:00;0;-16;0;5,5
Strømtangen Fyr;SN17000;06.01.2024 19:00;0;-15,7;0;5,4
Strømtangen Fyr;SN17000;06.01.2024 20:00;0;-16;0;5,2
Strømtangen Fyr;SN17000;06.01.2024 21:00;0;-15,5;2;4,8
Strømtangen Fyr;SN17000;06.01.2024 22:00;0,1;-15,3;5;5,6
